HGNC ID	Approved symbol	Approved name	Previous symbols	Status	NCBI Gene ID(supplied by NCBI)	UniProt ID(supplied by UniProt)	Mouse genome database ID(supplied by MGI)	Rat genome database ID(supplied by RGD)	Ensembl gene ID
HGNC:64	ABCD1P3	ATP binding cassette subfamily D member 1 pseudogene 3		Approved	26982				ENSG00000261233
HGNC:65	ABCD1P4	ATP binding cassette subfamily D member 1 pseudogene 4		Approved	26957				ENSG00000225293
HGNC:42662	ABCD1P5	ATP binding cassette subfamily D member 1 pseudogene 5		Approved	642762				ENSG00000214330
HGNC:66	ABCD2	ATP binding cassette subfamily D member 2	ALDL1	Approved	225	Q9UBJ2	MGI:1349467	RGD:69244	ENSG00000173208
HGNC:67	ABCD3	ATP binding cassette subfamily D member 3	PXMP1	Approved	5825	P28288	MGI:1349216	RGD:2007	ENSG00000117528
HGNC:68	ABCD4	ATP binding cassette subfamily D member 4	PXMP1L	Approved	5826	O14678	MGI:1349217	RGD:1307273	ENSG00000119688
HGNC:69	ABCE1	ATP binding cassette subfamily E member 1	RNASEL1, RNASELI, RNS4I	Approved	6059	P61221	MGI:1195458	RGD:1305301	ENSG00000164163
HGNC:70	ABCF1	ATP binding cassette subfamily F member 1	ABC50	Approved	23	Q8NE71	MGI:1351658	RGD:620286	ENSG00000204574
HGNC:53628	ABCF1-DT	ABCF1 divergent transcript		Approved	107986587				
HGNC:71	ABCF2	ATP binding cassette subfamily F member 2		Approved	10061	Q9UG63	MGI:1351657	RGD:1304942	ENSG00000033050
HGNC:54751	ABCF2-H2BK1	ABCF2-H2BK1 readthrough	ABCF2-H2BE1	Approved	114483834		MGI:1351657		ENSG00000285292
HGNC:48841	ABCF2P1	ATP binding cassette subfamily F member 2 pseudogene 1		Approved	344653				ENSG00000242159
HGNC:48842	ABCF2P2	ATP binding cassette subfamily F member 2 pseudogene 2		Approved	100422059				ENSG00000228769
HGNC:72	ABCF3	ATP binding cassette subfamily F member 3		Approved	55324	Q9NUQ8	MGI:1351656	RGD:1310468	ENSG00000161204
HGNC:73	ABCG1	ATP binding cassette subfamily G member 1		Approved	9619	P45844	MGI:107704	RGD:620294	ENSG00000160179
HGNC:74	ABCG2	ATP binding cassette subfamily G member 2 (JR blood group)		Approved	9429	Q9UNQ0	MGI:1347061, MGI:1351624	RGD:631345	ENSG00000118777
HGNC:13884	ABCG4	ATP binding cassette subfamily G member 4		Approved	64137	Q9H172	MGI:1890594	RGD:1305840	ENSG00000172350
HGNC:13886	ABCG5	ATP binding cassette subfamily G member 5		Approved	64240	Q9H222	MGI:1351659	RGD:620298	ENSG00000138075
HGNC:13887	ABCG8	ATP binding cassette subfamily G member 8		Approved	64241	Q9H221	MGI:1914720	RGD:620300	ENSG00000143921
HGNC:75	ABCR	symbol withdrawn, see [HGNC:34](/data/gene-symbol-report/#!/hgnc_id/HGNC:34)		Symbol Withdrawn					
HGNC:17553	ABHD1	abhydrolase domain containing 1		Approved	84696	Q96SE0	MGI:1931013	RGD:1310988	ENSG00000143994
HGNC:18717	ABHD2	abhydrolase domain containing 2, acylglycerol lipase		Approved	11057	P08910	MGI:1914344	RGD:1311389	ENSG00000140526
HGNC:18718	ABHD3	abhydrolase domain containing 3, phospholipase		Approved	171586	Q8WU67	MGI:2147183	RGD:1310655	ENSG00000158201
HGNC:20154	ABHD4	abhydrolase domain containing 4, N-acyl phospholipase B		Approved	63874	Q8TB40	MGI:1915938	RGD:1311858	ENSG00000100439
HGNC:21396	ABHD5	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase		Approved	51099	Q8WTS1	MGI:1914719	RGD:1303237	ENSG00000011198
HGNC:21398	ABHD6	abhydrolase domain containing 6, acylglycerol lipase		Approved	57406	Q9BV23	MGI:1913332	RGD:1359323	ENSG00000163686
HGNC:23759	ABHD8	abhydrolase domain containing 8		Approved	79575	Q96I13	MGI:1918946	RGD:1305693	ENSG00000127220
HGNC:25656	ABHD10	abhydrolase domain containing 10, depalmitoylase		Approved	55347	Q9NUJ1	MGI:2442422	RGD:1308084	ENSG00000144827
HGNC:16407	ABHD11	abhydrolase domain containing 11	WBSCR21	Approved	83451	Q8NFV4	MGI:1916008	RGD:1304681	ENSG00000106077
HGNC:40012	ABHD11-AS2	ABHD11 antisense RNA 2		Entry Withdrawn					
HGNC:15868	ABHD12	abhydrolase domain containing 12, lysophospholipase	C20orf22	Approved	26090	Q8N2K0	MGI:1923442	RGD:1562570	ENSG00000100997
HGNC:19837	ABHD12B	abhydrolase domain containing 12B	C14orf29	Approved	145447	Q7Z5M8	MGI:2685650	RGD:1303145	ENSG00000131969
HGNC:20293	ABHD13	abhydrolase domain containing 13	C13orf6	Approved	84945	Q7L211	MGI:1916154	RGD:1308317	ENSG00000139826
HGNC:24538	ABHD14A	abhydrolase domain containing 14A		Approved	25864	Q9BUJ0	MGI:1915894	RGD:1309721	ENSG00000248487
HGNC:38856	ABHD14A-ACY1	ABHD14A-ACY1 readthrough		Approved	100526760				ENSG00000114786
HGNC:28235	ABHD14B	abhydrolase domain containing 14B		Approved	84836	Q96IU4	MGI:1923741	RGD:1359649	ENSG00000114779
HGNC:26971	ABHD15	abhydrolase domain containing 15		Approved	116236	Q6UXT9	MGI:1914727	RGD:1304598	ENSG00000168792
HGNC:49685	ABHD15-AS1	ABHD15 antisense RNA 1		Approved	104355133				ENSG00000264031
HGNC:13921	ABHD16A	abhydrolase domain containing 16A, phospholipase	BAT5	Approved	7920	O95870	MGI:99476	RGD:1303164	ENSG00000204427
HGNC:16128	ABHD16B	abhydrolase domain containing 16B	C20orf135	Approved	140701	Q9H3Z7	MGI:3607711	RGD:1309726	ENSG00000183260
HGNC:28756	ABHD17A	abhydrolase domain containing 17A, depalmitoylase	C19orf27, FAM108A1	Approved	81926	Q96GS6	MGI:106388	RGD:1359682	ENSG00000129968
HGNC:28394	ABHD17AP1	ABHD17A pseudogene 1	FAM108A2, ABHD17AP2, FAM108A3, FAM108A11P, FAM108A3P	Approved	728917				ENSG00000198658
HGNC:33538	ABHD17AP2	symbol withdrawn, see [HGNC:28394](/data/gene-symbol-report/#!/hgnc_id/HGNC:28394)	FAM108A3, FAM108A11P, FAM108A3P	Symbol Withdrawn					
HGNC:34041	ABHD17AP3	ABHD17A pseudogene 3	FAM108A4, FAM108A4P	Approved	648359				ENSG00000250536
HGNC:34042	ABHD17AP4	ABHD17A pseudogene 4	FAM108A5, FAM108A5P	Approved	729495				ENSG00000229107
HGNC:34043	ABHD17AP5	ABHD17A pseudogene 5	FAM108A6, FAM108A6P	Approved	91219				ENSG00000263366
HGNC:34044	ABHD17AP6	ABHD17A pseudogene 6	FAM108A7P	Approved	644988				ENSG00000226981
HGNC:38508	ABHD17AP7	ABHD17A pseudogene 7	FAM108A8P	Approved	100133212				ENSG00000260864
HGNC:38509	ABHD17AP8	ABHD17A pseudogene 8	FAM108A9P	Approved	647144				ENSG00000260540
HGNC:38510	ABHD17AP9	ABHD17A pseudogene 9	FAM108A10P	Approved	100132251				ENSG00000261536
HGNC:24278	ABHD17B	abhydrolase domain containing 17B, depalmitoylase	C9orf77, FAM108B1	Approved	51104	Q5VST6	MGI:1917816	RGD:1305246	ENSG00000107362
HGNC:26925	ABHD17C	abhydrolase domain containing 17C, depalmitoylase	FAM108C1	Approved	58489	Q6PCB6	MGI:1917428	RGD:1308210	ENSG00000136379
HGNC:26111	ABHD18	abhydrolase domain containing 18	C4orf29	Approved	80167	Q0P651	MGI:1915468	RGD:1563987	ENSG00000164074
HGNC:11320	ABI1	abl interactor 1	SSH3BP1	Approved	10006	Q8IZP0	MGI:104913	RGD:621008	ENSG00000136754
HGNC:20035	ABI1P1	abl interactor 1 pseudogene 1	SSH3BP1P, ABI1P	Approved	326268				ENSG00000271484
HGNC:24011	ABI2	abl interactor 2		Approved	10152	Q9NYB9	MGI:106913	RGD:628771	ENSG00000138443
HGNC:29859	ABI3	ABI family member 3		Approved	51225	Q9P2A4	MGI:1913860	RGD:1311794	ENSG00000108798
HGNC:17265	ABI3BP	ABI family member 3 binding protein		Approved	25890	Q7Z7G0	MGI:2444583	RGD:1562717	ENSG00000154175
HGNC:1364	ABITRAM	actin binding transcription modulator	C9orf6, FAM206A	Approved	54942	Q9NX38	MGI:2677850	RGD:1594560	ENSG00000119328
HGNC:39851	ABITRAMP1	ABITRAM pseudogene 1	FAM206BP	Approved	390403				ENSG00000251106
HGNC:76	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	ABL	Approved	25	P00519	MGI:87859	RGD:1584969	ENSG00000097007
HGNC:77	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	ABLL	Approved	27	P42684	MGI:87860	RGD:1590898	ENSG00000143322
HGNC:78	ABLIM1	actin binding LIM protein 1	LIMAB1, ABLIM	Approved	3983	O14639	MGI:1194500	RGD:1565768	ENSG00000099204
HGNC:19195	ABLIM2	actin binding LIM protein family member 2		Approved	84448	Q6H8Q1	MGI:2385758	RGD:1303094	ENSG00000163995
HGNC:29132	ABLIM3	actin binding LIM protein family member 3		Approved	22885	O94929	MGI:2442582	RGD:1565118	ENSG00000173210
HGNC:79	ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase		Approved	28	P16442	MGI:2135738	RGD:2307241	ENSG00000175164
HGNC:81	ABR	ABR activator of RhoGEF and GTPase		Approved	29	Q12979	MGI:107771	RGD:1306279	ENSG00000159842
HGNC:55674	ABR-AS1	ABR antisense RNA 1		Approved	105371479				ENSG00000235361
HGNC:30655	ABRA	actin binding Rho activating protein		Approved	137735	Q8N0Z2	MGI:2444891	RGD:708493	ENSG00000174429
HGNC:21230	ABRACL	ABRA C-terminal like	C6orf115	Approved	58527	Q9P1F3	MGI:1920362	RGD:1583256	ENSG00000146386
HGNC:25829	ABRAXAS1	abraxas 1, BRCA1 A complex subunit	CCDC98, FAM175A	Approved	84142	Q6UWZ7	MGI:1917931	RGD:1305287	ENSG00000163322
HGNC:56461	ABRAXAS1P1	ABRAXAS1 pseudogene 1		Approved	100421580				ENSG00000213431
HGNC:56462	ABRAXAS1P2	ABRAXAS1 pseudogene 2		Approved	100133073				ENSG00000253384
HGNC:28975	ABRAXAS2	abraxas 2, BRISC complex subunit	KIAA0157, FAM175B	Approved	23172	Q15018	MGI:1926116	RGD:1308918	ENSG00000165660
HGNC:17369	ABT1	activator of basal transcription 1		Approved	29777	Q9ULW3	MGI:1353636	RGD:1310785	ENSG00000146109
HGNC:39557	ABT1P1	activator of basal transcription 1 pseudogene 1		Approved	100420695				ENSG00000250496
HGNC:18275	ABTB1	ankyrin repeat and BTB domain containing 1		Approved	80325	Q969K4	MGI:1933148	RGD:1359363	ENSG00000114626
HGNC:23842	ABTB2	ankyrin repeat and BTB domain containing 2		Approved	25841	Q8N961	MGI:2139365	RGD:620724	ENSG00000166016
HGNC:23844	ABTB3	ankyrin repeat and BTB domain containing 3	BTBD11	Approved	121551	A6QL63	MGI:1921257	RGD:1308647	ENSG00000151136
HGNC:82	ACAA1	acetyl-CoA acyltransferase 1		Approved	30	P09110	MGI:2148491, MGI:3605455	RGD:67379	ENSG00000060971
HGNC:83	ACAA2	acetyl-CoA acyltransferase 2		Approved	10449	P42765	MGI:1098623	RGD:620482	ENSG00000167315
HGNC:55880	ACAA2P1	ACAA2 pseudogene 1		Approved	100420869				ENSG00000233585
HGNC:84	ACACA	acetyl-CoA carboxylase alpha	ACAC, ACC	Approved	31	Q13085	MGI:108451	RGD:621248	ENSG00000278540
HGNC:85	ACACB	acetyl-CoA carboxylase beta		Approved	32	O00763	MGI:2140940	RGD:620500	ENSG00000076555
HGNC:86	ACAD	acyl-Coenzyme A dehydrogenase, multiple (chr X)		Entry Withdrawn					
HGNC:87	ACAD8	acyl-CoA dehydrogenase family member 8		Approved	27034	Q9UKU7	MGI:1914198	RGD:1564209	ENSG00000151498
HGNC:21497	ACAD9	acyl-CoA dehydrogenase family member 9		Approved	28976	Q9H845	MGI:1914272	RGD:727973	ENSG00000177646
HGNC:56086	ACAD9-DT	ACAD9 divergent transcript		Approved	123706524				ENSG00000287110
HGNC:21597	ACAD10	acyl-CoA dehydrogenase family member 10		Approved	80724	Q6JQN1	MGI:1919235, MGI:2443320	RGD:1310159	ENSG00000111271
HGNC:30211	ACAD11	acyl-CoA dehydrogenase family member 11		Approved	84129	Q709F0	MGI:2143169	RGD:1306270	ENSG00000240303
HGNC:88	ACADL	acyl-CoA dehydrogenase long chain		Approved	33	P28330	MGI:87866	RGD:2011	ENSG00000115361
HGNC:89	ACADM	acyl-CoA dehydrogenase medium chain		Approved	34	P11310	MGI:87867	RGD:2012	ENSG00000117054
HGNC:90	ACADS	acyl-CoA dehydrogenase short chain		Approved	35	P16219	MGI:87868	RGD:620514	ENSG00000122971
HGNC:91	ACADSB	acyl-CoA dehydrogenase short/branched chain		Approved	36	P45954	MGI:1914135	RGD:2013	ENSG00000196177
HGNC:92	ACADVL	acyl-CoA dehydrogenase very long chain		Approved	37	P49748	MGI:895149	RGD:2014	ENSG00000072778
